 title, type, socket, performance, cores, year, price, power
Core i5-14600KF,десктопный,Intel Socket 1700,25.54,14 / 20,−,519 USD,125 W
Xeon W-3335,серверный,Intel Socket 4189,25.40,16 / 32,2021,1608 USD,250 W
Core i5-14600K,десктопный,LGA 1700,25.40,14 / 206 x 5.3 GHz Intel Raptor Cove P-Core8 x 3.5 GHz Intel Gracemont E-Core,2023,517 USD,125 W
Xeon W-3275M,серверный,Socket P,25.34,28 / 56,2019,9030 USD,205 W
Ryzen 9 5900X,десктопный,AMD Socket AM4,25.33,12 / 24,2020,351 USD,105 W
EPYC 7313,серверный,AMD Socket SP3,25.27,16 / 32,2021,1412 USD,155 W
Core i7-13700F,десктопный,Intel Socket 1700,25.24,16 / 24,2023,877 USD,65 W
Ryzen 9 3950X,десктопный,AMD Socket AM4,25.08,16 / 32,2019,1272 USD,105 W
Core i7-14650HX,для ноутбуков,BGA1964,24.82,16 / 248 x 5.2 GHz Intel Raptor Cove P-Core8 x 3.7 GHz Intel Gracemont E-Core,2024,−,55 W
Xeon Platinum 8180,серверный,Intel Socket 3647,24.73,28 / 56,2017,1849 USD,205 W
EPYC 7551P,серверный,AMD Socket TR4,24.64,32 / 64,2017,531 USD,180 W
Core i5-13600K,десктопный,Intel Socket 1700,24.62,14 / 206 x 5.1 GHz Intel Raptor Cove P-Core8 x 3.9 GHz Intel Gracemont E-Core,2022,403 USD,125 W
Core i7-13850HX,для ноутбуков,Intel BGA 1964,24.62,20 / 288 x 5.3 GHz Intel Raptor Cove P-Core12 x 3.8 GHz Intel Gracemont E-Core,2023,−,55 W
Core i7-14700HX,для ноутбуков,BGA1964,24.55,20 / 288 x 5.5 GHz Intel Raptor Cove P-Core12 x 3.9 GHz Intel Gracemont E-Core,2024,−,55 W
Xeon w5-2455X,серверный,Intel Socket 4677,24.49,12 / 24,2023,1270 USD,200 W
Core i5-13600KF,десктопный,Intel Socket 1700,24.48,14 / 20,2022,405 USD,125 W
Xeon Gold 6346,серверный,Intel Socket 4189,24.35,16 / 32,2021,2861 USD,205 W
Xeon Gold 5320,серверный,Intel Socket 4189,24.28,26 / 52,2021,2078 USD,185 W
Xeon Gold 6238R,серверный,Socket P,24.25,28 / 56,2020,1970 USD,165 W
Core i7-13700,десктопный,Intel Socket 1700,24.12,16 / 248 x 5.2 GHz Intel Raptor Cove P-Core8 x 4.1 GHz Intel Gracemont E-Core,2023,347 USD,65 W
Xeon W-3175X,серверный,Intel Socket 3647,24.03,28 / 56,2018,1000 USD,255 W
Core i9-12900F,десктопный,Intel Socket 1700,23.91,16 / 24,2022,500 USD,65 W
Xeon E7-8867 v3,серверный,Intel Socket 1150,23.86,16 / 32,2015,414 USD,165 W
Xeon w5-3425,серверный,Intel Socket 4677,23.57,12 / 24,2023,−,270 W
Xeon Gold 5416S,серверный,Intel Socket 4677,23.53,16 / 32,2023,1244 USD,150 W
Xeon Gold 6330N,серверный,FCLGA4189,23.51,/,2021,2650 USD,−
Xeon E7-8857 v2,серверный,FCLGA2011,23.47,/,2014,2126 USD,−
Xeon Gold 6248R,серверный,Socket P,23.39,24 / 48,2020,3485 USD,205 W
Ryzen 7 7700X,десктопный,AMD Socket AM5,23.25,8 / 16,2022,420 USD,105 W
EPYC 4364P,серверный,AMD Socket AM5,23.19,8 / 16,2024,−,105 W
EPYC 4344P,серверный,AMD Socket AM5,22.97,8 / 16,2024,−,65 W
